top - 15:37:15 up 4 days,  2:05,  1 user,  load average: 2.79, 2.01, 2.02
Tasks: 365 total,   2 running, 341 sleeping,  22 stopped,   0 zombie
%Cpu(s): 33.3 us,  4.5 sy,  0.0 ni, 60.6 id,  1.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7848.4 total,    359.3 free,   5789.9 used,   1699.1 buff/cache
MiB Swap:   2048.0 total,    102.1 free,   1945.9 used.    547.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  14088 art       20   0 2063460  12692      0 S   0.0   0.2  10:19.46 FoxitReader
  13581 art       20   0 2171464  12680      0 S   0.0   0.2  10:30.15 FoxitReader
  44157 art       20   0 2061196  12212     48 S   0.0   0.2   6:57.97 FoxitReader
  44167 art       20   0 2061200  12144    184 S   0.0   0.2   6:57.73 FoxitReader
 199580 art       20   0   32.7g  12044   3128 S   0.0   0.1   0:03.65 slack
 196971 art       20   0   32.4g  11460   3004 S   0.0   0.1   0:00.11 slack
 162590 root      20   0 1541688  11424      0 S   0.0   0.1   0:31.63 snapd
 196972 art       20   0   32.4g  11244   2696 S   0.0   0.1   0:00.11 slack
  15949 art       20   0 1130.9g  10968   5584 S   0.0   0.1   0:01.19 chrome
   2257 art       20   0  805596   9924   2840 S   0.0   0.1   0:05.50 xdg-desktop-por
   1577 art        9 -11 3582104   9892   4028 S   0.0   0.1   9:42.13 pulseaudio
  15959 art       20   0 1130.9g   9572   4660 S   0.0   0.1   0:01.43 chrome
  15925 art       20   0 1130.9g   8876   3868 S   0.0   0.1   0:01.40 chrome
 200503 art       20   0   32.2g   8260      0 S   0.0   0.1   0:00.00 code
 201918 art       20   0  107184   8220   1256 S   0.0   0.1   0:00.40 plugin_host-3.3
   1913 art       20   0 2734304   8168   5208 S   0.0   0.1   0:00.90 gjs
   4639 art       20   0  463304   6944   3760 S   0.0   0.1   0:08.22 update-notifier
  81883 art       30  10  522852   6928   1892 S   0.0   0.1   0:14.57 update-manager
  15780 art       20   0   32.3g   6616   2700 S   0.0   0.1   0:05.40 chrome
   1942 art       20   0 1421404   6316   2092 S   0.0   0.1   0:07.75 gsd-media-keys
      1 root      20   0  169876   6220   1940 S   0.0   0.1   2:25.19 systemd
 197069 art       20   0 1385476   6064      0 S   0.0   0.1   0:02.68 snap
   1945 art       20   0  682608   5312   1848 S   0.0   0.1   0:08.40 gsd-power
   1936 art       20   0  573980   5264   2572 S   0.0   0.1   0:02.87 gsd-color
 163050 art       20   0   17900   4960    660 T   0.0   0.1   0:00.03 gprof2dot
   1988 art       20   0  500160   4576   1204 S   0.0   0.1   0:33.98 kdeconnectd
    818 root      20   0  877456   4516   1708 S   0.0   0.1   1:24.63 NetworkManager
  86839 art       20   0  865092   4204   2336 S   0.0   0.1   0:01.75 gnome-calendar
   2253 art       20   0 1004228   4168   2076 S   0.0   0.1   0:08.51 xdg-desktop-por
 166914 art       20   0   11492   3928   1864 S   0.0   0.0   0:00.24 bash
   1979 art       20   0  345040   3876   1500 S   0.0   0.0   0:02.13 gsd-xsettings
 222360 art       20   0   12200   3836   3136 R   6.2   0.0   0:00.01 top
 200803 art       20   0   11384   3692   1680 S   0.0   0.0   0:00.46 bash
